λ,espec_0,espec_1,espec_2,espec_3,espec_4,espec_5,espec_6,espec_7,espec_8,espec_9
0.94901124401159,-0.027098471130069912,215.89164262021737,1239.874962856136,-103.68579075927916,5488.038774419197,37877.030161108385,-3631.1808899785606,43695.36413848387,-75466.00211311184,151924.786111487
0.9499712720543619,-0.026887082326093967,199.5943763201741,1588.3338932917354,-1661.410733990792,3182.306212565471,48646.902034449195,8246.508665198384,71625.98558771246,-89746.80272636328,251594.17140482063
0.9509322712698663,-0.02663111014592655,176.99139917840972,2067.3672939491034,-3647.6633495115207,-20.28360898877723,59792.79764073704,33449.54813538912,130536.79145437441,-77969.3868856644,455685.0590382928
0.95189424264055,-0.02641663069563169,160.0037400084859,2424.5249073521204,-5326.294536738339,-2403.215898096056,70502.32982471204,50326.61280133308,156289.78462576834,-76909.49504822594,548401.0114699784
0.9528571871498536,-0.026164878369424716,137.59518601963194,2793.233398492254,-7029.479996319541,-5537.322561067412,78736.70158196022,79048.07475950352,226886.37797190034,-20022.852786146177,783406.3613620517
0.9538211057822124,-0.02598629260563005,125.57250220827586,3017.8147584730805,-8213.378529096944,-7234.217596238654,85566.92673713408,95700.51992322702,241307.015744729,-14574.486304524817,839886.7207639705
0.9547859995230578,-0.025862178187632485,121.2212113710804,3005.334818369342,-8528.793635213964,-7781.015870141299,88376.22057789472,98674.1721373479,238787.4783998911,6823.418488464446,834848.077301926
0.9557518693588183,-0.025734244963487165,116.93909224907647,2967.9386120714444,-8477.530549334684,-8311.83038498658,86618.7481000675,102792.05586034767,266721.9677750466,63563.109375415035,914868.882794262
0.9567187162769198,-0.02577460573262159,136.27644225465124,2575.7302187904697,-7276.36892438677,-5573.516960515024,83053.2421408164,76763.87112469523,162013.35314393483,-1263.7510004913227,565725.8589767356
0.9576865412657874,-0.025784881011444837,151.7164651713124,2220.054355341468,-5995.288019188523,-3371.474185184752,76614.97810507161,56770.21502958568,111813.21672701775,-3928.998744022233,345496.1973750954
0.9586553453148459,-0.02581303214463907,170.67604204985346,1800.8465698747975,-4104.883869230201,-665.9990876301629,64523.45510566324,31320.81283540204,76485.41808973989,12457.12009511609,170282.70201475907
0.9596251294145213,-0.02584804322663976,190.4238420276805,1374.8187301620167,-2280.5875341187666,2130.706032278018,53403.76188241422,7103.424308183702,31490.355092922866,18509.415869930297,-42344.671684197056
0.9605958945562414,-0.025826169447116964,202.6250704270668,1077.17012680056,-631.1709553555982,3864.83102069667,39964.19564254324,-5735.968959882197,62987.72764777635,101045.07598547221,-67168.64650073335
